Date,Region,Area (km square),Population (Consensus 2017),COVID-19 Lockdown (1= no lockdown        2= school closure          3 = Country wide lockdown),Cumulative Cases,Cumulative  tests performed,Cumulative  Test positive,Discharged,Cumulative Expired (region/province wise),Home Quarantine,Still admitted,No of hospitals ,Beds for COVID,Total Admitted,Admitted Stable,Admitted Critical,Admitted Venilator,Home Quarantine,Recovered,Quarantine Facilities,Cumulative Quarantined,Foreign Transmission Percentage ,Local Transmission Percentage 
07-04-20,AJK,"13,297","4,045,000",3,484,484,18,1,0,0,17,14,262,17,17,0,0,0,1,57,157,0.33,0.67
07-04-20,Balochistan,"347,190","12,344,739",3,3456,2998,202,63,1,51,87,87,1699,87,86,1,0,51,63,68,313,0.7,0.3
07-04-20,GB,"72,496","1,900,000",3,1111,1015,211,15,3,179,14,26,151,14,14,0,0,179,15,47,148,0.79,0.2
07-04-20,ICT,906,"2,001,579",3,2921,2921,83,3,1,62,17,2,40,17,16,1,0,62,3,10,161,0.2,0.8
07-04-20,KP,"74,521","39,523,371",3,3016,2103,500,69,17,276,138,141,3046,138,135,3,0,276,69,107,3487,0.5,0.5
07-04-20,Punjab,"205,345","119,017,465",3,9386,20073,1918,25,15,1127,751,147,1592,751,743,8,0,1127,25,34,12374,0.7,0.3
07-04-20,Sindh,"140,914","47,893,244",3,9589,9589,932,253,17,375,287,45,505,287,272,15,0,375,253,5,97,0.37,0.63
08-04-20,AJK,"13,297","4,045,000",3,534,534,19,1,0,0,18,14,262,18,18,0,0,0,1,57,173,0.32,0.68
08-04-20,Balochistan,"347,190","12,344,739",3,3549,3091,206,75,2,52,77,87,1699,77,77,0,0,52,75,68,267,0.68,0.32
08-04-20,GB,"72,496","1,900,000",3,1175,1127,212,15,3,180,14,26,151,14,14,0,0,180,15,47,121,0.79,0.21
08-04-20,ICT,906,"2,001,579",3,3096,3096,92,3,1,71,17,2,40,17,16,1,0,71,3,12,320,0.18,0.82
08-04-20,KP,"74,521","39,523,371",3,3068,2262,527,70,18,242,197,141,3046,197,194,3,0,242,70,107,3487,0.48,0.52
08-04-20,Punjab,"205,345","119,017,465",3,10347,21826,2030,34,16,1267,713,147,1592,713,706,7,0,1267,34,34,13005,0.7,0.3
08-04-20,Sindh,"140,914","47,893,244",3,10223,10223,986,269,18,396,303,45,505,303,289,14,0,396,269,5,97,0.35,0.65
09-04-20,AJK,"13,297","4,045,000",3,581,581,28,1,0,0,27,14,262,27,27,0,0,0,1,57,160,0.21,0.79
09-04-20,Balochistan,"347,190","12,344,739",3,3709,3216,212,76,2,57,77,87,1699,77,77,0,0,57,76,68,401,0.67,0.33
09-04-20,GB,"72,496","1,900,000",3,1211,1143,213,96,3,100,14,26,151,14,14,0,0,100,96,47,90,0.79,0.21
09-04-20,ICT,906,"2,001,579",3,3233,3233,102,10,1,80,11,2,40,11,10,1,0,80,10,14,208,0.17,0.83
09-04-20,KP,"74,521","39,523,371",3,3322,2662,560,74,20,298,168,141,3046,168,162,6,0,298,74,107,3487,0.45,0.55
09-04-20,Punjab,"205,345","119,017,465",3,11741,23080,2171,35,17,1367,752,147,1592,752,744,8,0,1367,35,34,13005,0.68,0.32
09-04-20,Sindh,"140,914","47,893,244",3,10981,10981,1036,280,20,382,354,45,505,354,338,16,0,382,280,5,97,0.34,0.66
10-04-20,AJK,"13,297","4,045,000",3,631,631,33,1,0,0,32,15,292,32,32,0,0,0,1,57,159,0.18,0.82
10-04-20,Balochistan,"347,190","12,344,739",3,4009,3405,219,89,1,59,70,87,1699,70,69,1,0,59,89,68,356,0.68,0.32
10-04-20,GB,"72,496","1,900,000",3,1334,1266,215,111,3,87,14,26,151,14,14,0,0,87,111,47,80,0.78,0.21
10-04-20,ICT,906,"2,001,579",3,3375,3375,107,10,1,78,18,2,40,18,17,1,0,78,10,14,413,0.16,0.84
10-04-20,KP,"74,521","39,523,371",3,3687,2871,620,128,22,269,201,141,3046,201,181,20,0,269,128,107,3487,0.4,0.6
10-04-20,Punjab,"205,345","119,017,465",3,13720,31535,2279,39,18,1477,745,147,1592,745,740,5,0,1477,39,36,13026,0.67,0.33
10-04-20,Sindh,"140,914","47,893,244",3,11623,11623,1128,349,21,436,322,169,4688,322,304,18,0,436,349,17,38,0.31,0.69
11-04-20,AJK,"13,297","4,045,000",3,745,745,34,1,0,0,33,15,292,33,33,0,0,0,1,58,181,0.18,0.82
11-04-20,Balochistan,"347,190","12,344,739",3,4109,3694,220,95,1,56,68,87,1699,68,68,0,0,56,95,68,327,0.67,0.33
11-04-20,GB,"72,496","1,900,000",3,1424,1334,215,125,3,70,17,26,151,17,17,0,0,70,125,47,80,0.78,0.21
11-04-20,ICT,906,"2,001,579",3,3480,3480,113,13,1,84,15,113,40,15,14,1,0,84,13,16,257,0.15,0.85
11-04-20,KP,"74,521","39,523,371",3,3768,3046,656,131,25,299,201,141,3046,201,181,20,0,299,131,107,3487,0.39,0.62
